Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",2608022,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"Bodak Yellow","Cardi B",1320353,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
3,1-800-273-8255,Logic,1211198,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
4,"Bank Account","21 Savage",1157866,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
5,"XO TOUR Llif3","Lil Uzi Vert",962390,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
6,Unforgettable,"French Montana",889727,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
7,"Young Dumb & Broke",Khalid,871861,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
8,"Sorry Not Sorry","Demi Lovato",841705,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
9,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",820511,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
10,Silence,Marshmello,818183,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
11,Congratulations,"Post Malone",789424,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
12,HUMBLE.,"Kendrick Lamar",774792,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
13,"Jocelyn Flores",XXXTENTACION,751567,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
14,Havana,"Camila Cabello",739879,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
15,"I Fall Apart","Post Malone",710261,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
16,"Look What You Made Me Do","Taylor Swift",705906,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
17,"Rake It Up","Yo Gotti",697115,https://open.spotify.com/track/6c7D34787LOtPm8tzhsLgH
18,"I Get The Bag (feat. Migos)","Gucci Mane",679028,https://open.spotify.com/track/1HTtUBEY3tuw2btgwwI2Ja
19,"Too Good At Goodbyes - Edit","Sam Smith",668486,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
20,"Mi Gente (feat. Beyoncé)","J Balvin",665445,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
21,"Butterfly Effect","Travis Scott",652162,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
22,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",620950,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI
23,Thunder,"Imagine Dragons",620172,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
24,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",618646,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
25,"Gucci Gang","Lil Pump",611762,https://open.spotify.com/track/6foxplXS0YEq8cO374Lty4
26,"What Lovers Do (feat. SZA)","Maroon 5",611596,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
27,"Love Galore",SZA,591487,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
28,"Feel It Still","Portugal. The Man",591396,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
29,goosebumps,"Travis Scott",578067,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
30,Location,Khalid,564740,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
31,"Glorious (feat. Skylar Grey)",Macklemore,556772,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
32,"Mi Gente","J Balvin",552983,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
33,"New Rules","Dua Lipa",550777,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
34,"Dusk Till Dawn - Radio Edit",ZAYN,539113,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
35,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,519487,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
36,"Slippery (feat. Gucci Mane)",Migos,518504,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
37,Transportin',"Kodak Black",518035,https://open.spotify.com/track/1WIZiOuNO3woKfdlSK2gNn
38,"Friends (with BloodPop®)","Justin Bieber",517784,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
39,"The Race",Tay-K,517763,https://open.spotify.com/track/5RCfvwDewu6p2x1mEI6smX
40,"Strip That Down","Liam Payne",496603,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
41,"Despacito - Remix","Luis Fonsi",495822,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
42,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",492231,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
43,Believer,"Imagine Dragons",481795,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
44,Magnolia,"Playboi Carti",477039,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
45,"Wild Thoughts","DJ Khaled",472391,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
46,"...Ready For It?","Taylor Swift",444944,https://open.spotify.com/track/19WjVVgXjdKXfLXoaDPwTM
47,DNA.,"Kendrick Lamar",441748,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
48,Feels,"Calvin Harris",415071,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
49,"It's A Vibe","2 Chainz",412794,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
50,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",403933,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
51,"Sauce It Up","Lil Uzi Vert",402435,https://open.spotify.com/track/1uL78kFWxhz3umTMWJu8n5
52,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,400533,https://open.spotify.com/track/7rdUtXasA973gmrr2Xxh3E
53,"Mask Off",Future,399719,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
54,Redbone,"Childish Gambino",397202,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
55,Perfect,"Ed Sheeran",394223,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
56,"Plain Jane","A$AP Ferg",391405,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
57,Attention,"Charlie Puth",387476,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
58,"Relationship (feat. Future)","Young Thug",387256,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg
59,"Go Flex","Post Malone",385507,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
60,wokeuplikethis*,"Playboi Carti",383507,https://open.spotify.com/track/59J5nzL1KniFHnU120dQzt
61,"LOVE. FEAT. ZACARI.","Kendrick Lamar",381754,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
62,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",381060,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
63,"Body Like A Back Road","Sam Hunt",380533,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
64,"I'm the One","DJ Khaled",377828,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
65,"Say A'","A Boogie Wit da Hoodie",374310,https://open.spotify.com/track/3AMnOVxEHUgVrythGgqPhI
66,"I Like Me Better",Lauv,368072,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
67,Questions,"Chris Brown",363962,https://open.spotify.com/track/5XQMr19TL7Mfksq9zihbOu
68,"do re mi (feat. Gucci Mane)",blackbear,358217,https://open.spotify.com/track/53mrVsi49rLHIaKBiSvElG
69,"Shape of You","Ed Sheeran",353153,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
70,"Bad At Love",Halsey,344868,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
71,"Candy Paint","Post Malone",344751,https://open.spotify.com/track/4wdZdkEugVVorAfzqRqC6N
72,Unforgettable,"Thomas Rhett",342570,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ
73,"Everybody Dies In Their Nightmares",XXXTENTACION,340841,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
74,"White Iverson","Post Malone",335387,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
75,"Perplexing Pegasus","Rae Sremmurd",331295,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ
76,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",329958,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
77,"Slow Hands","Niall Horan",328887,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
78,"iSpy (feat. Lil Yachty)",KYLE,326974,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
79,"That's What I Like","Bruno Mars",316613,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
80,"Undefeated (feat. 21 Savage)","A Boogie Wit da Hoodie",309406,https://open.spotify.com/track/2vaMWMPMgsWX4fwJiKmdWm
